"","Estacao","Data","value"
"739","RD044",2005 jul,19.8
"740","RD044",2005 out,41.6
"741","RD044",2006 jan,38.7
"742","RD044",2006 abr,28
"743","RD044",2006 jul,8.84
"744","RD044",2006 out,18.2
"745","RD044",2007 jan,261
"746","RD044",2007 abr,45.4
"747","RD044",2007 jul,12.8
"748","RD044",2007 out,9.88
"749","RD044",2008 jan,56.1
"750","RD044",2008 abr,208
"751","RD044",2008 jul,9.02
"752","RD044",2008 out,14.9
"753","RD044",2009 jan,206
"754","RD044",2009 abr,115
"755","RD044",2009 jul,12.5
"756","RD044",2009 out,28.4
"757","RD044",2010 jan,22.2
"758","RD044",2010 abr,25.2
"759","RD044",2010 jul,8.22
"760","RD044",2010 out,7.12
"761","RD044",2011 jan,44.2
"762","RD044",2011 abr,54.6
"763","RD044",2011 jul,8.94
"764","RD044",2011 out,7.92
"765","RD044",2012 jan,72.4
"766","RD044",2012 abr,48.1
"767","RD044",2012 jul,10.7
"768","RD044",2012 out,8.09
"769","RD044",2013 jan,217
"770","RD044",2013 abr,76.4
"771","RD044",2013 jun,13
"772","RD044",2013 jul,13.9
"773","RD044",2013 ago,6.68
"774","RD044",2013 set,6.02
"775","RD044",2013 out,31.2
"776","RD044",2013 nov,35.1
"777","RD044",2013 dez,40.9
"778","RD044",2014 jan,30.9
"779","RD044",2014 fev,17.8
"780","RD044",2014 mar,71.9
"781","RD044",2014 abr,36.1
"782","RD044",2014 mai,6.4
"783","RD044",2014 jun,5.9
"784","RD044",2014 jul,4.39
"785","RD044",2014 ago,3.31
"786","RD044",2014 set,3.49
"787","RD044",2014 out,3
"788","RD044",2014 nov,82
"789","RD044",2014 dez,80.4
"790","RD044",2015 jan,7.77
"791","RD044",2015 fev,18.4
"792","RD044",2015 mar,20.3
"793","RD044",2015 abr,10.1
"794","RD044",2015 mai,7.54
"795","RD044",2015 jun,4.82
"796","RD044",2015 jul,3.23
"797","RD044",2015 ago,2.56
"798","RD044",2015 set,2.69
"799","RD044",2015 out,2.28
"800","RD044",2015 dez,3277
"801","RD044",2016 jan,3640
"802","RD044",2016 mar,191
"803","RD044",2016 abr,53.5
"804","RD044",2016 mai,32
"805","RD044",2016 jun,32.8
"806","RD044",2016 jul,22.8
"807","RD044",2016 ago,19.7
"808","RD044",2016 set,63.9
"809","RD044",2016 out,29.7
"810","RD044",2016 nov,18.8
"811","RD044",2016 dez,176
"812","RD044",2017 jan,156
"813","RD044",2017 fev,81.6
"814","RD044",2017 jul,7.34
"815","RD044",2017 ago,15.4
"816","RD044",2017 set,7.02
"817","RD044",2017 out,4.6
"818","RD044",2017 nov,73.1
"819","RD044",2017 dez,3849
"820","RD044",2018 jan,35.3
"821","RD044",2018 fev,694
"822","RD044",2018 mar,235
"823","RD044",2018 abr,59.6
"824","RD044",2018 mai,13.1
"825","RD044",2018 jun,12.4
"826","RD044",2018 jul,6.9
"827","RD044",2018 ago,8.44
"828","RD044",2018 set,10.2
"829","RD044",2018 out,9.47
"830","RD044",2018 nov,39.7
"831","RD044",2018 dez,147
"832","RD044",2019 jan,15.4
"833","RD044",2019 fev,53.7
"834","RD044",2019 mar,94.1
"835","RD044",2019 abr,35.9
"836","RD044",2019 mai,14.7
"837","RD044",2019 jun,7.74
"838","RD044",2019 jul,8.34
"839","RD044",2019 ago,4.07
"840","RD044",2019 set,7.34
"841","RD044",2019 out,5.37
"842","RD044",2019 nov,9.37
"843","RD044",2019 dez,177
"844","RD044",2020 jan,154
"845","RD044",2020 fev,117
"846","RD044",2020 mar,461
"847","RD044",2020 mai,61.6
"848","RD044",2020 jun,30.6
"849","RD044",2020 jul,8.38
"850","RD044",2020 ago,7.21
"851","RD044",2020 set,8.15
"852","RD044",2020 out,27.2
"853","RD044",2020 nov,56.9
"854","RD044",2020 dez,110
"855","RD044",2021 jan,34.7
"856","RD044",2021 fev,324
"857","RD044",2021 mar,84.8
"858","RD044",2021 abr,22.7
"859","RD044",2021 mai,8.9
"860","RD044",2021 jun,7.05
"861","RD044",2021 jul,6.9
